listing_id,total_reviews,avg_rating
15060731,73,4.89
8.76E+17,1,5
13542720,5,5
8.26E+17,5,4.6
45495027,9,4.78
6072414,13,4.92
22670474,14,4.14
25476758,14,4.43
20675654,15,4.4
44832737,16,5
5.77E+17,16,4.63
30510623,18,4.44
22692174,26,4.31
20685727,28,4.54
32065918,37,4.78
21044104,37,4.57
22670776,47,4.28
21384208,49,4.53
21044056,54,4.56
21038479,82,4.54
21043913,94,4.51
16454685,392,4.94
6.84E+17,2,4.5
6.44E+17,8,5
20461027,12,4.42
48359588,54,4.74
46551522,76,4.95
46049905,107,4.92
46048362,121,4.96
25071659,182,4.82
26668219,3,5
7.12E+17,7,5
8.48E+17,10,4.9
47043132,12,4.75
8.79E+17,13,4.46
7.74E+17,14,5
21383659,16,4.38
52201387,28,4.79
11759609,41,4.95
6501477,49,4.92
29394566,60,4.95
31389662,95,4.58
20849583,102,4.79
48679512,126,4.67
49215258,130,4.95
19642299,156,4.98
21788048,163,4.91
45756100,184,4.99
28895568,206,4.8
20166365,446,4.86
7.25E+17,1,5
45670909,1,5
49615874,1,5
49611274,1,5
44211888,2,5
5.50E+17,2,3
16413243,3,5
18189814,3,5
8.79E+17,4,4
44134766,6,5
20028213,10,4.67
1075426,10,4.2
23527224,14,4.92
18359146,18,4.94
45670073,19,4.79
5.89E+17,19,4.95
8.37E+17,19,4.95
53509854,20,4.7
52163897,20,3.9
7.77E+17,21,4.95
54376826,23,4.91
5.67E+17,24,4.63
52001607,24,4.96
46513626,25,5
11970099,27,4.96
13494833,27,4.85
7.75E+17,28,4.75
53559268,30,5
13894976,31,4.97
5026926,37,4.92
50694792,40,4.98
14333797,40,4.8
15805076,43,4.83
6.04E+17,52,4.83
54039531,56,4.93
6.22E+17,57,4.86
39809926,59,4.92
25326610,61,4.57
53919426,62,4.9
32464624,63,4.95
7076206,64,4.72
33721595,69,4.99
48383542,86,4.66
5.67E+17,91,4.91
6227307,95,4.93
6.15E+17,97,4.95
46435428,99,4.94
16413061,100,4.98
51542353,108,4.86
37289643,117,4.91
43479699,119,4.76
47031108,125,4.72
33972170,129,4.95
9215039,131,4.91
9283035,135,4.86
5.83E+17,140,4.98
36341382,181,4.89
25977017,211,4.92
13491888,219,4.84
20213058,312,4.87
2361802,346,4.89
453159,374,4.91
7181782,462,4.5
9156290,559,4.76
9727618,1,5
5.80E+17,1,2
7.50E+17,1,5
8.84E+17,1,5
7.34E+17,1,4
8.84E+17,1,5
8.98E+17,1,5
49615870,1,4
45671786,1,5
53062687,1,4
8.35E+17,2,5
13342086,2,0
46193587,2,4
21436504,2,5
44207617,3,5
47200180,3,4.67
50903143,3,4.67
13112324,3,4.67
39596942,3,5
16959752,4,5
8.43E+17,5,4.6
14108883,6,4.67
6.25E+17,6,4.83
4841217,7,5
53150537,7,4.71
8.07E+17,7,4.57
52407058,8,5
46778196,9,5
45118225,9,5
12866552,9,4.67
44207610,9,4.67
12850682,11,5
45726862,11,4.55
7.41E+17,11,4.18
44433757,11,4.82
44207611,12,5
48300497,13,4.31
2889743,15,4.73
53173706,17,4.94
7.91E+17,18,4.89
6.98E+17,20,4.8
47134889,20,4.7
7.91E+17,20,4.8
8.26E+17,21,5
53316396,21,4.81
51599456,24,4.58
48179886,24,4.75
8.06E+17,24,5
11553508,25,4.76
2060129,25,4.88
40608158,25,4.88
1997483,26,4.85
42318051,26,4.69
46598276,26,4.96
52898793,27,4.85
52994570,27,4.78
53570414,29,4.59
12866878,29,4.9
7.74E+17,30,4.83
51652582,31,4.65
4580159,31,4.97
4978657,32,4.94
37253675,32,4.9
43465858,34,4.91
30981199,35,4.66
6.62E+17,36,4.92
5.44E+17,38,5
41929080,38,4.92
6569449,40,4.9
16052295,41,4.98
15248451,42,5
5.77E+17,42,4.69
42459578,43,5
6.00E+17,44,4.59
6.43E+17,44,4.91
50935433,45,4.98
41656697,45,4.91
6.05E+17,46,4.93
13078902,47,4.89
54023049,47,4.94
42929391,47,4.83
6.33E+17,48,4.96
12399984,49,4.84
54094540,50,4.96
6.48E+17,52,4.87
37179549,53,4.98
7930288,53,4.89
6.08E+17,53,4.89
49425663,55,4.67
5.72E+17,55,4.91
11371592,55,4.87
12152132,55,4.78
15817486,55,4.7
49481871,56,4.93
10543985,59,4.78
5.73E+17,61,4.87
51170066,63,4.63
53895342,63,4.97
53154583,64,4.84
47286904,65,4.98
5.47E+17,65,4.92
4579903,65,4.77
53227047,66,4.91
6.48E+17,68,4.94
47236322,68,4.81
2476761,70,4.91
52003587,71,5
49425664,71,4.76
26940356,72,4.82
22448594,72,4.9
10544363,74,4.86
33076387,75,4.9
41377434,78,4.86
43186270,79,4.59
10066573,79,4.89
6.59E+17,80,4.93
5.56E+17,82,4.93
50223391,83,4.88
29942074,83,4.71
45177682,86,4.94
49424718,88,4.99
52754210,89,4.7
54296485,91,4.8
9113304,92,4.87
42090210,92,4.95
7220755,95,4.53
46049801,97,4.95
53413141,97,4.94
24797782,99,4.94
46507680,100,4.97
53657060,100,4.88
37181831,102,4.97
43868902,102,4.98
35336448,110,4.91
43186909,113,4.68
43884836,116,4.94
37821696,116,4.89
42046602,117,4.97
52992636,117,4.97
41342070,119,4.95
46049581,134,4.93
31239094,143,4.94
34243546,144,4.89
28606289,149,4.97
49929890,150,4.97
19405358,156,4.92
29122757,160,4.97
16701782,161,4.88
35161686,161,4.95
36282039,164,4.77
3635540,167,4.91
26998386,168,4.91
42768807,169,4.88
30090744,187,4.91
27705648,199,4.88
29151289,201,4.93
20769447,224,4.93
27190553,228,4.68
35741692,232,4.96
31986507,236,4.82
5801793,236,4.85
16284856,238,4.97
18471909,243,4.84
4645378,247,4.97
26895761,249,4.89
19503298,251,4.89
525672,253,4.86
15985071,260,4.88
32168514,261,4.8
382111,268,4.79
16589585,299,4.89
13622959,302,4.85
11126528,322,4.98
12423375,322,4.97
2277705,345,4.87
30115570,354,4.9
16882568,442,4.98
4055607,448,4.9
10526371,490,4.96
3103276,600,4.89
6690084,1,4
16576444,1,5
8.84E+17,1,5
8.76E+17,1,5
8.84E+17,1,5
8.84E+17,1,5
45657024,1,5
45669735,1,5
8.84E+17,1,5
8.94E+17,1,3
43124008,1,4
5.88E+17,1,5
11031634,1,5
6133291,1,5
39755135,1,4
7.20E+17,2,4.5
47074315,2,5
3674676,2,5
6.61E+17,2,4
31388922,2,5
51328356,2,5
20722572,2,5
31332079,2,5
8.84E+17,4,4.75
8.34E+17,4,5
45719672,4,5
49671219,4,5
8.75E+17,5,4.6
9660463,6,4.83
18868200,6,5
49013551,6,4.5
33772102,7,4.57
51280194,7,5
6.17E+17,7,5
53509301,8,5
48300551,8,4.75
34859597,9,4.56
12581800,10,5
5.41E+17,11,4.91
8.31E+17,11,4.91
19018633,13,4.92
4635196,15,4.5
45673093,15,4.8
47852874,15,4.87
37431165,15,4.93
53356279,15,4.8
14331755,16,4.86
30557727,16,4.63
54103533,17,4.94
871825,18,4.83
15744305,18,5
48572918,18,4.67
21680495,18,4.56
34421731,19,4.95
44533310,20,4.95
6.61E+17,20,5
9473056,21,4.95
32763621,22,4.82
46646458,22,5
47991451,23,4.26
7.36E+17,24,4.71
12513824,26,4.81
52778681,26,5
43186585,27,4.81
16757351,28,4.82
542144,31,4.9
5.62E+17,34,4.97
49089210,34,4.38
22325323,34,4.94
5.70E+17,35,5
